sample_code,sample_nr,group,day0_leaves,day7_leaves,day14_leaves,day21_leaves,day28_leaves,day35_leaves,day42_leaves,day42_deadleaves,day49_leaves,day49_deadleaves,day28_TotalLeafArea_cm2)8,file_name
s086,86,C,2,3,5,5,6,6,6,0,6,1,0.289,img_s086
s087,87,C,2,3,4,5,5,4,5,1,9,1,0.378,img_s087
s088,88,A,2,4,6,7,8,8,8,2,8,1,0.514,img_s088
s089,89,C,3,6,7,9,10,10,11,1,10,1,0.573,img_s089
s090,90,C,3,5,5,7,7,7,8,0,9,0,0.424,img_s090
s091,91,C,3,4,5,5,4,4,5,1,6,2,0.188,img_s091
s092,92,A,2,5,5,7,7,7,8,2,8,3,0.422,img_s092
s093,93,C,2,6,7,10,10,11,11,0,11,0,0.424,img_s093
s094,94,A,3,6,5,6,6,5,6,2,6,1,0.349,img_s094
s095,95,A,2,5,7,6,8,8,10,1,10,1,0.338,img_s095
s096,96,A,3,5,7,7,10,10,10,1,10,1,0.577,img_s096
s097,97,C,1,2,2,8,12,13,13,1,13,1,0.508,img_s097
s098,98,A,4,6,5,7,7,7,8,1,8,1,0.357,img_s098
s099,99,C,3,4,4,6,6,6,11,4,10,2,0.303,img_s099
s100,100,C,3,4,5,8,8,8,9,1,9,1,0.393,img_s100
s101,101,A,3,6,6,9,10,10,14,3,12,1,0.78,img_s101
s102,102,A,2,3,3,5,6,6,6,1,6,1,0.283,img_s102
s103,103,C,2,2,4,5,5,6,6,1,5,1,0.203,img_s103
s104,104,C,3,3,4,5,6,7,8,2,8,1,0.425,img_s104
s105,105,C,2,6,5,5,7,7,9,1,10,3,0.36,img_s105
s106,106,A,2,4,5,6,8,9,9,1,9,1,0.564,img_s106
s107,107,C,3,5,6,12,15,17,17,1,9,0,0.763,img_s107
s108,108,A,3,4,7,12,17,20,22,2,22,1,0.987,img_s108
s109,109,C,3,5,6,7,8,10,11,1,10,1,0.37,img_s109
s110,110,C,2,2,4,6,8,10,12,0,12,0,0.468,img_s110
s111,111,A,1,3,5,6,10,9,9,0,9,0,0.543,img_s111
s112,112,A,2,5,7,9,10,9,11,1,12,2,0.604,img_s112
s113,113,A,1,3,3,6,7,9,10,2,10,3,0.447,img_s113
s114,114,C,1,4,7,10,14,16,18,0,21,0,1.191,img_s114
s115,115,A,2,6,7,8,9,11,14,2,12,2,0.49,img_s115
s116,116,A,2,6,7,8,10,8,13,3,13,3,0.495,img_s116
s117,117,C,2,2,3,5,7,8,8,0,7,1,0.366,img_s117
s118,118,A,2,6,5,7,9,17,11,4,9,2,0.386,img_s118
s119,119,A,3,6,8,12,17,14,18,2,17,1,1.048,img_s119
s120,120,C,3,4,7,10,11,12,16,1,16,1,0.504,img_s120
s121,121,C,4,4,5,7,8,17,15,0,15,0,0.467,img_s121
s122,122,C,4,4,7,10,13,7,18,1,20,1,0.746,img_s122
s123,123,A,2,3,3,7,6,14,9,1,9,5,0.418,img_s123
s124,124,C,2,5,9,10,13,12,14,0,16,1,0.678,img_s124
s125,125,A,2,3,4,8,11,8,13,3,14,1,0.696,img_s125
s126,126,C,2,3,4,6,9,11,10,1,11,1,0.409,img_s126
s127,127,A,2,2,4,7,10,14,10,1,11,1,0.592,img_s127
s128,128,C,2,4,6,10,10,13,15,0,14,1,0.591,img_s128
s129,129,A,2,4,5,10,11,15,14,3,16,1,0.696,img_s129
s130,130,A,3,7,13,14,14,13,16,1,18,2,0.868,img_s130
